"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"211189_x_at" 2.5761778783736 9.27758244663428 3.51198499332537 0.00205540756424536 0.0747388092767241 -1.34938084301888
"209579_s_at" 2.69666288999195 9.71223648408288 3.4966322582212 0.00213142118828061 0.0756077544766354 -1.3826171397892
"209705_at" 2.71302420005645 7.41500778066913 3.48522272339515 0.00218969202738675 0.0763376671269088 -1.40729646628811
"210347_s_at" -2.53464419518275 9.1208606837626 -3.47822190388481 0.00222621742531843 0.0766823420604716 -1.42243071867756
"211789_s_at" 2.25405380947846 9.26908366016476 3.44854338773346 0.0023878079162501 0.0789605862391524 -1.48651279898028
"214743_at" 2.44445576163679 9.34383143144835 3.4483343752379 0.00238898573080705 0.0789605862391524 -1.48696365352101
"AFFX-HUMRGE/M10098_M_at" -2.26536571484886 7.25233364055235 -3.40665761986702 0.00263557250737364 0.0826938714743136 -1.57673393898129
"201582_at" -2.05307670237695 8.20134943603879 -3.40109779325536 0.00267029640067412 0.0830812750248847 -1.58868969284491
"215523_at" 2.17446046186987 9.46234657753614 3.39986530303068 0.00267805431015134 0.0830905513471327 -1.59133936841422
"213321_at" 2.88148055813983 7.993609215503 3.37837247367252 0.00281693910508877 0.084947535526903 -1.63750741428172
"208794_s_at" 2.19342624163384 9.47877251791385 3.3735533572863 0.00284903311490887 0.085465754724097 -1.64784909571433
"217432_s_at" 2.40981488337699 8.29912804125376 3.36062829861613 0.00293688521674843 0.0867278413275495 -1.67556727666848
"201546_at" 2.03965931935879 9.65445462032107 3.32453220770063 0.00319647981195405 0.0892466560055735 -1.75282924845552
"218168_s_at" 2.16997860944034 9.04914444775756 3.30932830417298 0.00331240582934855 0.0913630135407892 -1.78530570358208
"209258_s_at" 2.28329449193503 8.2119826167893 3.26799145281296 0.00364869727332042 0.096191750482555 -1.87339529171697
"211784_s_at" -2.35449560465999 8.4044131758567 -3.25221262465622 0.00378564270415167 0.096843001898637 -1.90693736654665
